127.0.0.1, 2018-01-30 00:13:31, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.653243
127.0.0.1, 2018-01-30 00:14:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.033542
127.0.0.1, 2018-01-30 00:14:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.540786
127.0.0.1, 2018-01-30 00:15:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066724
127.0.0.1, 2018-01-30 00:15:30, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.501102
127.0.0.1, 2018-01-30 00:16:09, GET, /admin/default/peek/simpleNN/views/layout.html, HTTP/1.1, 200, 0.286047
127.0.0.1, 2018-01-30 00:17:02, GET, /admin/default/design/simpleNN, HTTP/1.1, 200, 1.010618
127.0.0.1, 2018-01-30 00:17:09, GET, /admin/default/peek/simpleNN/views/default/index.html, HTTP/1.1, 200, 0.087579
127.0.0.1, 2018-01-30 00:17:13, GET, /admin/default/edit/simpleNN/views/default/index.html, HTTP/1.1, 200, 0.147712
127.0.0.1, 2018-01-30 00:17:14, GET, /admin/default/edit/simpleNN/views/default/index.html, HTTP/1.1, 200, 0.084333
127.0.0.1, 2018-01-30 00:17:14, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.018341
127.0.0.1, 2018-01-30 00:17:15, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.092401
127.0.0.1, 2018-01-30 00:17:15, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.537175
127.0.0.1, 2018-01-30 00:17:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.655767
127.0.0.1, 2018-01-30 00:17:16, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 1.000599
127.0.0.1, 2018-01-30 00:17:20, POST, /admin/default/edit/simpleNN/views/default/index.html, HTTP/1.1, 200, 0.048273
127.0.0.1, 2018-01-30 00:17:30, POST, /admin/default/edit/simpleNN/views/default/index.html, HTTP/1.1, 200, 0.054027
127.0.0.1, 2018-01-30 00:17:31, POST, /admin/default/edit/simpleNN/views/default/index.html, HTTP/1.1, 200, 0.035757
127.0.0.1, 2018-01-30 00:17:53, POST, /admin/default/create_file, HTTP/1.1, 200, 0.101123
127.0.0.1, 2018-01-30 00:17:53, GET, /admin/default/edit/simpleNN/models/test-predict.html.py, HTTP/1.1, 200, 0.084420
127.0.0.1, 2018-01-30 00:17:53, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.186903
127.0.0.1, 2018-01-30 00:17:53, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.162435
127.0.0.1, 2018-01-30 00:18:00, POST, /admin/default/edit/simpleNN/models/test-predict.html.py, HTTP/1.1, 200, 0.042844
127.0.0.1, 2018-01-30 00:18:00, POST, /admin/default/edit/simpleNN/models/test-predict.html.py, HTTP/1.1, 200, 0.040016
127.0.0.1, 2018-01-30 00:18:12, POST, /admin/default/edit/simpleNN/models/test-predict.html.py, HTTP/1.1, 200, 0.047907
127.0.0.1, 2018-01-30 00:18:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047513
127.0.0.1, 2018-01-30 00:18:15, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.487004
127.0.0.1, 2018-01-30 00:18:24, POST, /admin/default/create_file, HTTP/1.1, 200, 0.031852
127.0.0.1, 2018-01-30 00:18:24, GET, /admin/default/edit/simpleNN/views/test-predict.html, HTTP/1.1, 200, 0.087002
127.0.0.1, 2018-01-30 00:18:24, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.195751
127.0.0.1, 2018-01-30 00:18:24, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.142882
127.0.0.1, 2018-01-30 00:18:30, POST, /admin/default/edit/simpleNN/views/test-predict.html, HTTP/1.1, 200, 0.035170
127.0.0.1, 2018-01-30 00:18:47, GET, /simpleNN/test-predict.html, HTTP/1.1, 400, 0.002492
127.0.0.1, 2018-01-30 00:19:01, GET, /admin/default/edit/simpleNN/controllers/default.py, HTTP/1.1, 200, 0.072162
127.0.0.1, 2018-01-30 00:19:01, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.018583
127.0.0.1, 2018-01-30 00:19:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.083438
127.0.0.1, 2018-01-30 00:19:15, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.539956
127.0.0.1, 2018-01-30 00:20:00, POST, /admin/default/edit/simpleNN/controllers/default.py, HTTP/1.1, 200, 0.061325
127.0.0.1, 2018-01-30 00:20:00, POST, /admin/default/edit/simpleNN/controllers/default.py, HTTP/1.1, 200, 0.039913
127.0.0.1, 2018-01-30 00:20:11, POST, /admin/default/edit/simpleNN/controllers/default.py, HTTP/1.1, 200, 0.063219
127.0.0.1, 2018-01-30 00:20:11, POST, /admin/default/edit/simpleNN/controllers/default.py, HTTP/1.1, 200, 0.044509
127.0.0.1, 2018-01-30 00:20:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.100888
127.0.0.1, 2018-01-30 00:20:15, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.500105
127.0.0.1, 2018-01-30 00:20:21, POST, /admin/default/edit/simpleNN/controllers/default.py, HTTP/1.1, 200, 0.038539
127.0.0.1, 2018-01-30 00:20:27, POST, /admin/default/edit/simpleNN/controllers/default.py, HTTP/1.1, 200, 0.049905
127.0.0.1, 2018-01-30 00:20:46, POST, /admin/default/edit/simpleNN/controllers/default.py, HTTP/1.1, 200, 0.051633
127.0.0.1, 2018-01-30 00:21:04, POST, /admin/default/create_file, HTTP/1.1, 200, 0.037682
127.0.0.1, 2018-01-30 00:21:04, GET, /admin/default/edit/simpleNN/views/test_predict.html, HTTP/1.1, 200, 0.067368
127.0.0.1, 2018-01-30 00:21:04, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.222768
127.0.0.1, 2018-01-30 00:21:04, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.155783
127.0.0.1, 2018-01-30 00:21:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.085735
127.0.0.1, 2018-01-30 00:21:15, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.650041
127.0.0.1, 2018-01-30 00:21:18, GET, /admin/default/edit/simpleNN/views/test-predict.html, HTTP/1.1, 200, 0.059937
127.0.0.1, 2018-01-30 00:21:26, GET, /admin/default/edit/simpleNN/views/test-predict.html, HTTP/1.1, 200, 0.059547
127.0.0.1, 2018-01-30 00:21:26, GET, /admin/default/edit/simpleNN/views/test-predict.html, HTTP/1.1, 200, 0.060487
